DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m udp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:23:47 2023
[Status] Stopping after 1 run through file
> NOERROR www.2-227-210-30.ip187.fastwebnet.it A 0.000449
> NOERROR www.204-185-169-185-static.cvitt.it A 0.000321
> NOERROR www.203209152213.dynamic.sisole.xtnetwork.it A 0.000892
> NOERROR www.217-133-25-179.static.clienti.tiscali.it A 0.000079
> NOERROR www.146-241-45-97.dyn.eolo.it A 0.000071
> NXDOMAIN fwww.giornitraduedate.it A 0.000461
> NOERROR www.2-224-137-69.ip170.fastwebnet.it A 0.000217
> NOERROR www.102neu174.neuroscienze.unito.it A 0.001256
> NOERROR www.2-230-14-204.ip199.fastwebnet.it A 0.000606
> NOERROR www.2-227-109-204.ip185.fastwebnet.it A 0.000632
> NOERROR www.2-224-56-153.ip169.fastwebnet.it A 0.000540
> NOERROR www.2-224-14-20.ip168.fastwebnet.it A 0.000375
> NOERROR www.2-231-64-87.ip206.fastwebnet.it A 0.000731
> NOERROR www.2-228-70-27.ip190.fastwebnet.it A 0.000773
> NOERROR www.128-116-211-177.static.eolo.it A 0.000167
> NXDOMAIN fwebdisk.agricasciobio.it A 0.000488
> NOERROR www.11.118.168.109.host.static.ip.kpnqwest.it A 0.000767
> NXDOMAIN fwebmail.kuery.it A 0.000172
> NOERROR www.212-124-186-65.dyn.eolo.it A 0.000211
> NOERROR www.2-224-110-101.ip170.fastwebnet.it A 0.000621
> NOERROR www.2-230-254-194.ip204.fastwebnet.it A 0.000195
> NOERROR www.2-231-103-168.ip206.fastwebnet.it A 0.000344
> NOERROR www.212-183-177-76.static-xdsl.qcom.it A 0.000050
> NOERROR www.217-133-71-115.static.clienti.tiscali.it A 0.000521
> NXDOMAIN fwww.alieniedintorni.it A 0.000188
> NXDOMAIN fwww.compagniedeprovence.it A 0.000222
> NXDOMAIN fwaterworks.it A 0.000190
> NOERROR www.146-241-116-232.dyn.eolo.it A 0.000339
> NOERROR www.151-0-203-6.ip282.fastwebnet.it A 0.000237
> NOERROR www.176-110-97-219.ip.campaniacom.it A 0.000334
> NOERROR www.151-0-136-46.ip281.fastwebnet.it A 0.000375
> NXDOMAIN fwww.stranagente.it A 0.000480
