DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m tcp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:24:26 2023
[Status] Stopping after 1 run through file
> NOERROR www.203209152213.dynamic.sisole.xtnetwork.it A 0.001268
> NOERROR www.2-227-210-30.ip187.fastwebnet.it A 0.000708
> NOERROR www.204-185-169-185-static.cvitt.it A 0.000695
> NOERROR www.217-133-25-179.static.clienti.tiscali.it A 0.000567
> NOERROR www.146-241-45-97.dyn.eolo.it A 0.000551
> NXDOMAIN fwww.giornitraduedate.it A 0.000622
> NOERROR www.102neu174.neuroscienze.unito.it A 0.000520
> NOERROR www.2-224-137-69.ip170.fastwebnet.it A 0.000292
> NOERROR www.2-231-64-87.ip206.fastwebnet.it A 0.000523
> NOERROR www.2-227-109-204.ip185.fastwebnet.it A 0.000522
> NOERROR www.2-230-14-204.ip199.fastwebnet.it A 0.000578
> NOERROR www.2-228-70-27.ip190.fastwebnet.it A 0.000577
> NOERROR www.2-224-56-153.ip169.fastwebnet.it A 0.000610
> NOERROR www.2-224-14-20.ip168.fastwebnet.it A 0.000877
> NXDOMAIN fwebdisk.agricasciobio.it A 0.000876
> NOERROR www.11.118.168.109.host.static.ip.kpnqwest.it A 0.000930
> NOERROR www.128-116-211-177.static.eolo.it A 0.001080
> NOERROR www.2-224-110-101.ip170.fastwebnet.it A 0.001079
> NOERROR www.212-124-186-65.dyn.eolo.it A 0.001422
> NXDOMAIN fwebmail.kuery.it A 0.001421
> NOERROR www.2-231-103-168.ip206.fastwebnet.it A 0.001474
> NOERROR www.217-133-71-115.static.clienti.tiscali.it A 0.001630
> NOERROR www.2-230-254-194.ip204.fastwebnet.it A 0.001804
> NOERROR www.212-183-177-76.static-xdsl.qcom.it A 0.001803
> NXDOMAIN fwww.compagniedeprovence.it A 0.001843
> NXDOMAIN fwww.alieniedintorni.it A 0.002238
> NOERROR www.146-241-116-232.dyn.eolo.it A 0.002765
> NOERROR www.151-0-203-6.ip282.fastwebnet.it A 0.002786
> NXDOMAIN fwaterworks.it A 0.002946
> NXDOMAIN fwww.stranagente.it A 0.002945
> NOERROR www.151-0-136-46.ip281.fastwebnet.it A 0.003149
> NOERROR www.176-110-97-219.ip.campaniacom.it A 0.003148
> NOERROR www.168.117.65.128.dsl.static.ip.kpnqwest.it A 0.003488
> NOERROR www.128-116-161-83.dyn.eolo.it A 0.003518
> NOERROR www.2-231-117-133.ip207.fastwebnet.it A 0.003852
> NOERROR www.195-135-200-227.ip292.fastwebnet.it A 0.003848
> NOERROR www.112.248.93.77.cust.ip.kpnqwest.it A 0.003907
> NOERROR www.146-241-74-177.dyn.eolo.it A 0.003906
> NOERROR www.2-226-108-39.ip180.fastwebnet.it A 0.004101
> NOERROR www.2-225-240-62.ip178.fastwebnet.it A 0.004101
> NOERROR www.149.41.168.109.cust.ip.kpnqwest.it A 0.004278
> NOERROR www.111-161-129-45.customers.atlantis.it A 0.004294
> NOERROR www.217-133-226-144.static.clienti.tiscali.it A 0.004474
> NOERROR www.2-230-216-209.ip203.fastwebnet.it A 0.004474
> NOERROR www.185-219-235-86.ip300.fastwebnet.it A 0.004701
> NOERROR www.2-227-126-17.ip186.fastwebnet.it A 0.004700
> NOERROR www.217-133-4-190.static.clienti.tiscali.it A 0.004862
> NOERROR www.143net180.unica.it A 0.004879
> NXDOMAIN fwww.sanasicucine.it A 0.005124
> NOERROR www.146-241-18-46.dyn.eolo.it A 0.005124
> NOERROR www.2-231-74-170.ip206.fastwebnet.it A 0.005179
> NOERROR www.2-224-90-237.ip169.fastwebnet.it A 0.005178
> NOERROR www.128-116-168-155.static.eolo.it A 0.005178
> NXDOMAIN ftech121.mclink.it A 0.005354
> NOERROR www.2-227-210-60.ip187.fastwebnet.it A 0.005353
> NOERROR www.2-229-133-93.ip196.fastwebnet.it A 0.005531
> NOERROR www.2-225-153-48.ip176.fastwebnet.it A 0.005548
> NOERROR www.217-133-84-67.static.clienti.tiscali.it A 0.005799
> NOERROR www.188-213-47-72.wdsl.neomedia.it A 0.005656
> NOERROR www.195-72-204-167-scr-pzr.bwa.intercom.it A 0.005708
> NOERROR www.11-183-119-85.customer.panservice.it A 0.005707
> NXDOMAIN fwww.giovannipapa.artistaonline.it A 0.005889
> NXDOMAIN fwacanze.it A 0.005888
> NXDOMAIN fwww.antivirus.overheat.it A 0.006055
> NOERROR www.146-241-113-164.dyn.eolo.it A 0.006054
> NOERROR www.128-116-211-228.dyn.eolo.it A 0.006390
> NOERROR www.2-226-240-16.ip183.fastwebnet.it A 0.006700
> NOERROR www.2-229-155-99.ip197.fastwebnet.it A 0.006699
> NOERROR www.146-241-5-55.dyn.eolo.it A 0.006755
> NXDOMAIN fwifi-76-dhcprange-76-175.wifi.unimo.it A 0.006755
> NOERROR www.139net246.unica.it A 0.006913
> NOERROR www.217-133-29-205.static.clienti.tiscali.it A 0.006926
> NOERROR www.128-116-164-243.static.eolo.it A 0.007085
> NOERROR www.2-227-33-118.ip184.fastwebnet.it A 0.007101
> NOERROR www.2-226-221-20.ip182.fastwebnet.it A 0.007294
> NXDOMAIN fviaggi-in-sicilia.it A 0.007293
> NOERROR www.173.76.144.52.dsl.static.ip.kpnqwest.it A 0.007558
> NOERROR www.2-231-99-157.ip206.fastwebnet.it A 0.007557
> NXDOMAIN fwebmail.ci-boh.it A 0.007612
